[[25,23,-13,21,14,0],[41,41,-8,38,36,0]]
[[116,109,-13,108,104,0],[43,39,-31,27,24,0]]
[[35,19,-43,8,3,0],[36,20,-42,7,7,0]]
[[67,67,-27,63,44,0],[68,68,-26,61,49,0]]
[[59,26,-37,24,24,0],[73,61,-29,54,51,0]]
[[45,41,-47,39,0,0],[58,54,-34,39,39,0]]
[[53,49,-52,44,6,0],[63,59,-42,46,34,0]]
[[79,47,-44,42,40,0],[53,50,-59,42,2,0]]
[[80,69,-43,66,40,0],[99,99,-33,86,79,0]]
[[106,104,-32,97,81,0],[151,146,-23,138,136,0]]
[[79,49,-50,46,32,0],[75,54,-51,46,32,0]]
[[46,39,-71,14,0,0],[50,43,-67,16,10,0]]
[[72,14,-60,13,13,0],[53,31,-71,13,0,0]]
[[93,61,-50,60,44,0],[75,62,-61,60,16,0]]
[[79,65,-61,61,22,0],[153,145,-32,140,126,0]]
[[72,20,-70,19,3,0],[59,47,-71,19,16,0]]
[[63,58,-79,36,6,0],[110,110,-50,87,83,0]]
[[115,101,-53,95,68,0],[179,177,-34,168,154,0]]
[[113,63,-56,60,60,0],[127,119,-47,103,96,0]]
[[128,109,-49,106,82,0],[316,310,-20,307,299,0]]
[[109,59,-64,52,52,0],[89,72,-73,60,28,0]]
[[108,63,-69,56,46,0],[81,69,-84,56,10,0]]
[[106,105,-69,98,44,0],[131,97,-58,86,84,0]]
[[81,71,-87,58,7,0],[89,79,-79,63,26,0]]
[[239,209,-33,208,207,0],[116,71,-67,62,58,0]]
[[103,88,-73,78,40,0],[101,101,-68,72,62,0]]
[[160,130,-50,129,111,0],[215,212,-37,210,180,0]]
[[79,37,-94,16,6,0],[81,39,-92,14,14,0]]
[[92,47,-85,38,16,0],[71,59,-94,34,2,0]]
[[106,76,-76,59,47,0],[81,79,-89,59,12,0]]
[[97,33,-88,24,18,0],[83,43,-96,24,6,0]]
[[94,37,-93,26,12,0],[76,61,-97,26,14,0]]
[[116,94,-76,89,45,0],[206,199,-43,192,170,0]]
[[101,101,-81,84,37,0],[211,196,-43,182,182,0]]
[[107,85,-85,81,26,0],[209,197,-44,192,170,0]]
[[119,64,-79,58,46,0],[93,71,-94,58,12,0]]
[[85,85,-97,69,4,0],[213,195,-44,182,182,0]]
[[104,96,-86,81,33,0],[109,101,-81,81,48,0]]
[[136,98,-76,97,61,0],[219,214,-47,212,174,0]]
[[129,70,-83,60,56,0],[86,83,-105,60,4,0]]
[[118,106,-92,105,27,0],[227,227,-46,210,198,0]]
[[88,61,-107,30,12,0],[77,77,-106,30,18,0]]
[[144,136,-76,135,69,0],[152,144,-68,129,99,0]]
[[125,108,-87,106,40,0],[145,108,-75,104,74,0]]
[[226,223,-47,210,192,0],[134,116,-76,87,87,0]]
[[227,226,-49,218,186,0],[139,107,-79,93,74,0]]
[[250,217,-47,210,210,0],[131,131,-79,102,81,0]]
[[307,271,-39,270,269,0],[146,137,-79,130,74,0]]
[[190,160,-62,151,137,0],[145,118,-79,104,80,0]]
[[271,257,-44,254,230,0],[193,169,-61,161,140,0]]
[[125,109,-92,100,42,0],[141,108,-83,98,68,0]]
[[106,43,-111,26,12,0],[88,67,-115,26,14,0]]
[[133,100,-91,96,46,0],[125,109,-92,96,46,0]]
[[139,113,-86,106,60,0],[151,112,-79,94,90,0]]
[[284,271,-43,264,248,0],[206,190,-58,173,165,0]]
[[226,226,-54,215,183,0],[227,227,-53,208,193,0]]
[[128,74,-96,55,51,0],[109,93,-101,60,41,0]]
[[175,113,-74,112,102,0],[131,128,-95,122,42,0]]
[[131,83,-99,79,36,0],[137,89,-93,76,57,0]]
[[145,121,-89,113,64,0],[151,127,-83,104,91,0]]
[[92,47,-127,6,6,0],[79,58,-131,6,0,0]]
[[151,82,-89,80,64,0],[131,107,-94,80,64,0]]
[[127,109,-99,92,45,0],[134,116,-92,85,73,0]]
[[277,229,-50,228,228,0],[113,113,-115,105,6,0]]
[[115,79,-116,72,6,0],[128,107,-97,72,66,0]]
[[119,74,-109,54,30,0],[163,163,-77,138,111,0]]
[[145,143,-89,125,74,0],[261,257,-52,234,232,0]]
[[139,125,-95,108,61,0],[141,127,-93,107,68,0]]
[[1112,1111,-13,1110,1100,0],[127,103,-106,88,36,0]]
[[137,85,-103,75,44,0],[118,98,-110,75,31,0]]
[[127,53,-112,38,30,0],[117,62,-117,40,22,0]]
[[187,161,-77,157,114,0],[190,164,-74,147,133,0]]
[[89,79,-129,33,6,0],[96,86,-122,33,27,0]]
[[137,53,-108,48,34,0],[135,56,-109,48,34,0]]
[[193,193,-73,171,142,0],[297,285,-50,266,266,0]]
[[124,2,-124,1,1,0],[106,32,-136,1,1,0]]
[[183,169,-83,158,111,0],[292,279,-53,266,252,0]]
[[118,49,-129,26,12,0],[100,73,-133,26,14,0]]
